ID,age,ed,employ,address,income,debtinc,creddebt,othdebt,default
1,41,3,17,12,176,9.3,11.359392,5.008608,True
2,27,1,10,6,31,17.3,1.362202,4.000798,False
3,40,1,15,14,55,5.5,0.856075,2.168925,False
4,41,1,15,14,120,2.9,2.65872,0.82128,False
5,24,2,2,0,28,17.3,1.787436,3.056564,True
6,41,2,5,5,25,10.2,0.3927,2.1573,False
7,39,1,20,9,67,30.6,3.833874,16.668126,False
8,43,1,12,11,38,3.6,0.128592,1.239408,False
9,24,1,3,4,19,24.4,1.358348,3.277652,True
10,36,1,0,13,25,19.7,2.7777,2.1473,False
11,27,1,0,1,16,1.7,0.182512,0.089488,False
12,25,1,4,0,23,5.2,0.252356,0.943644,False
13,52,1,24,14,64,10.0,3.9296,2.4704,False
14,37,1,6,9,29,16.3,1.715901,3.011099,False
15,48,1,22,15,100,9.1,3.7037,5.3963,False
16,36,2,9,6,49,8.6,0.817516,3.396484,True
17,36,2,13,6,41,16.4,2.918216,3.805784,True
18,43,1,23,19,72,7.6,1.181952,4.290048,False
19,39,1,6,9,61,5.7,0.563274,2.913726,False
20,41,3,0,21,26,1.7,0.099008,0.342992,False
